date,open,high,low,close,volume,unadjustedVolume,vwap,change,BACKWARDSchange,changeOverTime,SMA8,SMA10,SMA20,SMA50,EMA8,EMA10,EMA20,EMA50,RSGAIN,RSLOSS,RSI,Target
11/6/13,68.9613,69.0547,68.1785,68.5363,55844152,7977736,68.5675,-0.194557,0.194557,0,0,0,0,0,68.5363,68.5363,68.5363,68.5363,0,0,0,0
11/7/13,68.36,68.835,67.4128,67.4275,65655100,9379300,68.0936,-1.1089,1.1089,-0.016178288,0,0,0,0,68.2899,68.3347,68.4307,68.49281765,0,0,0,0
11/8/13,67.7022,68.564,67.4404,68.489,69829543,9975649,68.2109,1.0615,-1.0615,-0.000690145,0,0,0,0,68.33414444,68.36275455,68.43625238,68.49266794,0,0,0,1
11/11/13,68.414,68.635,67.6798,68.2901,56863303,8123329,68.2692,-0.198933,0.198933,-0.003592257,0,0,0,0,68.32435679,68.34954463,68.42233311,68.48472409,0,0,0,0
11/12/13,68.1088,68.9311,68.0206,68.4166,51114651,7302093,68.662,0.126567,-0.126567,-0.00174652,0,0,0,0,68.34485528,68.36173651,68.4217871,68.48205256,0,0,0,1
11/13/13,68.1522,68.7113,68.0153,68.4987,49304927,7043561,68.43,0.082103,-0.082103,-0.000548614,0,0,0,0,68.379043,68.38663897,68.42911213,68.4827054,0,0,0,1
11/14/13,68.785,69.6363,68.6613,69.4889,70605087,10086441,69.3028,0.990177,-0.990177,0.013899204,0,0,0,0,68.62567789,68.58705006,68.53004431,68.52216401,0,0,0,1
11/15/13,69.281,69.6113,69.006,69.072,79479764,11354252,69.248,-0.416936,0.416936,0.007816296,68.5273875,0,0,0,68.72486058,68.67522278,68.58165914,68.54372621,0,0,0,0
11/18/13,69.0718,69.3613,68.1785,68.2349,61236224,8748032,68.7461,-0.837037,0.837037,-0.00439767,68.4897125,0,0,0,68.61598045,68.59516409,68.54863446,68.53161538,0,0,0,0
11/19/13,68.2877,68.86,68.1482,68.3561,52234707,7462101,68.4613,0.121174,-0.121174,-0.002629264,68.6057875,68.48101,0,0,68.55822924,68.55169789,68.53029784,68.52473242,0,0,0,1
11/20/13,68.314,68.4706,67.6693,67.7575,48545798,6935114,68.0798,-0.598632,0.598632,-0.011363321,68.51435,68.40313,0,0,68.38028941,68.40729828,68.45669805,68.49464488,0,0,0,0
11/21/13,68.0995,68.5745,67.5825,68.5648,65506861,9358123,68.149,0.807299,-0.807299,0.000415838,68.5486875,68.51686,0,0,68.42129176,68.43593495,68.46699347,68.49739606,0,0,0,1
11/22/13,68.3522,68.6995,68.2219,68.389,55931232,7990176,76.635,-0.175775,0.175775,-0.002149226,68.5452375,68.50686,0,0,68.41411581,68.42740133,68.45956552,68.49314523,0,0,0,0
11/25/13,68.5495,69.1876,68.5469,68.9074,57348403,8192629,68.9917,0.518377,-0.518377,0.005414649,68.596325,68.56859,0,0,68.52373452,68.51467381,68.50221643,68.50939052,0.264799786,0.252197857,51.21876074,1
11/26/13,68.9574,70.5388,68.9416,70.1783,100345728,14335104,69.9886,1.2709,-1.2709,0.023958107,68.6825,68.74476,0,0,68.89141574,68.8171513,68.66184343,68.57483795,0.355578357,0.238300929,59.87384401,1
11/27/13,70.5612,71.8361,70.1783,71.8308,90861841,12980263,71.7479,1.6525,-1.6525,0.048069417,69.02735,69.07797,0,0,69.54461224,69.36508743,68.96364882,68.70252273,0.473614071,0.159093786,74.85509562,1
11/29/13,72.2939,73.4583,72.0742,73.161,79532215,11361745,72.8409,1.3302,-1.3302,0.06747811,69.6431125,69.44518,0,0,70.34825397,70.05525335,69.36339655,68.87736498,0.492806929,0.159093786,75.59539632,1
12/2/13,73.4149,74.2477,72.4702,72.5242,118135885,16876555,73.2099,-0.63679,0.63679,0.058186684,70.164125,69.7904,0,0,70.83179753,70.50415274,69.66442545,69.02037812,0.492806929,0.190369286,72.13467306,0
12/3/13,73.4544,74.5174,73.3728,74.5098,112741734,16105962,73.9218,1.9856,-1.9856,0.087158192,71.0081625,70.41789,0,0,71.64913141,71.23245224,70.12588969,69.23564956,0.625595,0.190369286,76.66940955,1
12/4/13,74.4016,74.8871,73.7859,74.3359,94452666,13493238,76.082,-0.17393,0.17393,0.084620851,71.72955,71.01587,0,0,72.2461911,71.79671547,70.52684306,69.43565938,0.6197305,0.202792857,75.34503362,0
12/5/13,75.3424,75.6694,74.5214,74.7175,111895315,15985045,75.1016,0.381677,-0.381677,0.090188703,72.5206125,71.71187,69.9850619,0,72.79537085,72.3277672,70.92595324,69.64279039,0.576266214,0.202792857,73.96951469,1
12/6/13,74.4398,74.5661,73.6214,73.6807,86088352,12298336,74.2163,-1.0369,1.0369,0.075060953,73.117275,72.22346,70.23003333,0,72.99211066,72.57375498,71.18831008,69.80113979,0.576266214,0.247076,69.99109292,0
12/9/13,73.7964,74.9384,73.7964,74.524,80123533,11446219,74.5317,0.843349,-0.843349,0.087365382,73.6604875,72.83696,70.5679619,0,73.33253052,72.92834499,71.50599483,69.98634999,0.636505429,0.187287643,77.26520781,1
12/10/13,74.149,74.7148,73.8359,74.4082,69567610,9938230,77.8144,-0.115778,0.115778,0.085675766,73.9826625,73.38704,70.84982857,0,73.57156818,73.19740954,71.78239532,70.15975587,0.627850143,0.1955575,76.25022045,0
12/11/13,74.599,75.1213,73.6372,73.857,89929693,12847099,74.356,-0.551272,0.551272,0.077633313,74.0696625,73.75491,71.11491905,0,73.63499747,73.31733507,71.97997672,70.30474584,0.627850143,0.192174643,76.56477631,0
12/12/13,73.9598,74.3806,73.682,73.7491,65572318,9367474,73.9669,-0.107885,0.107885,0.076058964,74.222775,73.94674,71.36884762,0,73.66035359,73.39583779,72.14846465,70.43981855,0.570185929,0.199880714,74.04371217,0
12/13/13,74.053,74.0569,72.8452,72.9452,83205283,11886469,73.2191,-0.80388,0.80388,0.064329414,74.0272,73.92516,71.58058571,0,73.50143057,73.31390364,72.22434421,70.5380688,0.570185929,0.244745357,69.96736272,0
12/16/13,73.0228,74.0252,73.0215,73.3491,70648452,10092636,73.8855,0.403914,-0.403914,0.070222641,73.90385,74.00765,71.76440476,0,73.46757933,73.32030298,72.33146381,70.64830532,0.56201,0.244745357,69.66300193,1
12/17/13,73.1268,73.6043,72.8064,73.0189,57475649,8210807,74.6586,-0.330235,0.330235,0.065404756,73.691525,73.85856,71.95235238,0,73.36787281,73.26550244,72.39693392,70.74126982,0.471231429,0.268333571,63.71737827,0
12/18/13,72.3229,72.5531,70.8888,72.4637,141465807,20209401,71.7713,-0.555216,0.555216,0.05730394,73.5394,73.67134,72.15372381,0,73.16694552,73.11972018,72.4032926,70.8088161,0.353195714,0.307991857,53.41838376,0
12/19/13,72.2966,72.3623,71.5374,71.6335,80239369,11462767,71.859,-0.830195,0.830195,0.045190651,73.1780875,73.36294,72.30979048,0,72.82617985,72.84949833,72.32997902,70.84115665,0.258181429,0.3672915,41.27779425,0
12/20/13,71.7611,72.5742,71.6805,72.2334,109103435,15586205,72.2321,0.59995,-0.59995,0.053943677,72.9062375,73.21821,72.52292857,0,72.69445099,72.73748045,72.32078101,70.89575442,0.301035,0.3218065,48.3325212,1
12/23/13,74.7306,75.0884,74.0411,75.0055,125326831,17903833,74.6623,2.7721,-2.7721,0.094390856,73.0498,73.26636,72.82962857,0,73.20801744,73.14984764,72.57646854,71.05692092,0.357213571,0.3218065,52.60721832,1
12/24/13,74.9792,75.241,74.4714,74.6871,41888735,5984105,74.8319,-0.318395,0.318395,0.089745142,73.16705,73.29425,73.1295381,0,73.53670245,73.42934807,72.77748106,71.19928088,0.357213571,0.332125429,51.81972461,0
12/26/13,74.7437,74.9279,74.1222,74.1911,51002035,7286005,74.3873,-0.496008,0.496008,0.082508102,73.3227875,73.32766,73.38114286,0,73.68212413,73.56784842,72.91211143,71.31660712,0.329950929,0.367554571,47.30441962,0
12/27/13,74.1806,74.2582,73.6122,73.6899,56471317,8067331,73.794,-0.501276,0.501276,0.075195189,73.3653875,73.32174,73.5483619,0,73.6838521,73.59003962,72.98618653,71.40967743,0.329950929,0.329295714,50.04969417,0
12/30/13,73.3438,73.6899,72.6677,72.957,63407722,9058246,72.9728,-0.732834,0.732834,0.064501585,73.35765,73.32292,73.60199048,0,73.52232941,73.4749415,72.98340686,71.47035675,0.269711714,0.381641,41.40793588,0
12/31/13,72.911,73.8464,72.8886,73.8122,55819372,7974196,73.6393,0.855194,-0.855194,0.076979644,73.5262125,73.36923,73.633,0,73.5867451,73.53626123,73.06233954,71.56219374,0.330797,0.373371143,46.97699028,1
1/2/14,73.1096,73.2873,72.6282,72.7741,58791957,8398851,72.448,-1.0381,1.0381,0.061832926,73.6687875,73.34475,73.6449,0,73.4061573,73.39768646,73.03488816,71.60971947,0.330797,0.408144571,44.76632697,0
1/3/14,72.7386,72.8491,71.1032,71.1756,98303870,14043410,71.7503,-1.5985,1.5985,0.03850952,73.5365625,73.21594,73.48612857,0,72.9104779,72.99367074,72.8578131,71.59269518,0.330797,0.514617071,39.12840006,0
1/6/14,70.7112,71.9413,70.2046,71.5637,103359151,14765593,71.1778,0.388126,-0.388126,0.044172212,73.1063375,73.20896,73.35411905,0,72.61119392,72.73367606,72.73456423,71.59155811,0.358520286,0.457197071,43.95153328,1
