date,open,high,low,close,volume,unadjustedVolume,vwap,change,BACKWARDSchange,changeOverTime,SMA8,SMA10,SMA20,SMA50,EMA8,EMA10,EMA20,EMA50,RSGAIN,RSLOSS,RSI,Target (t + 1)
11/6/13,0.023012108,0.018327036,0.019674275,0.016721312,0.173749361,0.012342662,0.061818434,0.561366033,0.438633967,0.016721312,0,0,0,0,0.006207158,0.003989449,0.000736294,0.000363612,0,0,0,0
11/7/13,0.019381731,0.017015275,0.015029297,0.010054433,0.212169779,0.019954012,0.059101915,0.526077929,0.473922071,0.010054433,0,0,0,0,0.004659521,0.002714763,5.73081E-05,7.21567E-05,0,0,0,1
11/8/13,0.015410233,0.015397218,0.015196728,0.016436911,0.228517215,0.023192552,0.059774309,0.609842228,0.390157772,0.016436911,0,0,0,0,0.00493742,0.002892147,9.30087E-05,7.11532E-05,0,0,0,0
11/11/13,0.019707759,0.015821137,0.016649004,0.015240986,0.177740433,0.013133321,0.0601085,0.561197146,0.438802854,0.015240986,0,0,0,0,0.004875944,0.002808623,3.51073E-06,1.79068E-05,0,0,0,1
11/12/13,0.017865099,0.017589059,0.018716404,0.016001592,0.155228275,0.008673507,0.062360133,0.573759475,0.426240525,0.016001592,0,0,0,0,0.005004695,0.00288571,0,0,0,0,0,1
11/13/13,0.018127129,0.016276701,0.018684253,0.016495235,0.148141259,0.00726952,0.061030248,0.572043434,0.427956566,0.016495235,0,0,0,0,0.005219427,0.003043165,4.70984E-05,4.37588E-06,0,0,0,1
11/14/13,0.021947688,0.02179959,0.022603092,0.022449008,0.231554304,0.02379422,0.066033366,0.607089592,0.392910408,0.022449008,0,0,0,0,0.00676854,0.004310334,0.000696071,0.000268861,0,0,0,0
11/15/13,0.024942311,0.021650323,0.024694152,0.019942314,0.266308214,0.03067921,0.065719238,0.55278355,0.44721645,0.019942314,0.301671793,0,0,0,0.007391506,0.004867836,0.001027943,0.000413389,0,0,0,0
11/18/13,0.023679257,0.02015765,0.019674275,0.014909085,0.194865124,0.016525841,0.062842216,0.536570195,0.463429805,0.014909085,0.30150594,0,0,0,0.006707631,0.004361637,0.000815602,0.000332212,0,0,0,1
11/19/13,0.018945217,0.017164543,0.019490466,0.015637824,0.1596145,0.009542449,0.061209668,0.573551338,0.426448662,0.015637824,0.302016926,0.302659769,0,0,0.006344896,0.004086807,0.000697701,0.000286076,0,0,0,0
11/20/13,0.019104004,0.014839556,0.016585307,0.012038623,0.145168452,0.006680587,0.05902281,0.545771184,0.454228816,0.012038623,0.3016144,0.302315569,0,0,0.005227256,0.00317379,0.00022447,8.44043E-05,0,0,0,1
11/21/13,0.01780895,0.01545991,0.016058751,0.016892674,0.211589264,0.019839008,0.059419482,0.600031608,0.399968392,0.016892674,0.30176556,0.302818212,0,0,0.005484792,0.003354856,0.000290667,0.000102845,0,0,0,0
11/22/13,0.019334638,0.016206247,0.019937553,0.015835642,0.174090373,0.012410219,0.108063458,0.562090904,0.437909096,0.015835642,0.301750373,0.302774016,0,0,0.00543972,0.003300899,0.000242907,7.43524E-05,0,0,0,1
11/25/13,0.020525846,0.019120541,0.021909106,0.018952624,0.179640122,0.013509663,0.06425006,0.588880969,0.411119031,0.018952624,0.301975271,0.303046839,0,0,0.006128234,0.00385271,0.000517144,0.000183242,0.113569293,0.091708312,0.525878681,1
11/26/13,0.022988561,0.027188139,0.024303481,0.026594162,0.348020914,0.04686706,0.069964552,0.6179238,0.3820762,0.026594161,0.302354631,0.303825443,0,0,0.008437639,0.005765229,0.001543511,0.000621926,0.152503079,0.086654883,0.614743068,1
11/27/13,0.032671578,0.034933916,0.031805693,0.036530144,0.310881292,0.039509445,0.08004932,0.63265125,0.36734875,0.036530144,0.303872732,0.305298103,0,0,0.012540363,0.009229745,0.003484056,0.001477777,0.20312711,0.057852286,0.76856016,1
11/29/13,0.043132834,0.044619571,0.043306822,0.044528235,0.266513616,0.030719902,0.086314683,0.620212421,0.379787579,0.044528235,0.306583447,0.30692103,0,0,0.017588034,0.013593559,0.00605435,0.002649717,0.211358685,0.057852286,0.776161053,0
12/2/13,0.049900924,0.049332835,0.045709083,0.040699349,0.417688521,0.060668694,0.088429888,0.544298516,0.455701484,0.040699349,0.308877052,0.30844677,0,0,0.020625169,0.016431882,0.007989902,0.003608311,0.211358685,0.069225195,0.740628749,1
12/3/13,0.050139407,0.05094313,0.051184539,0.052638161,0.396564616,0.056483903,0.092510685,0.645506893,0.354493107,0.052638161,0.31259268,0.311220035,0,0,0.02575884,0.021036809,0.01095702,0.005051242,0.268309816,0.069225195,0.787188276,0
12/4/13,0.055858171,0.053150495,0.053690534,0.051592553,0.324943236,0.042295213,0.104893517,0.56216211,0.43783789,0.051592553,0.315768378,0.313862877,0,0,0.029508969,0.024604559,0.013535065,0.006391876,0.265794606,0.073742857,0.773590503,1
12/5/13,0.061538294,0.057821366,0.058152309,0.053886999,0.393249975,0.055827249,0.099273608,0.583605176,0.416394824,0.053886998,0.319250799,0.31693893,0.313167632,0,0.032958365,0.027962319,0.016101259,0.007780242,0.247153321,0.073742857,0.759467629,0
12/6/13,0.056088805,0.051233903,0.052692625,0.047653034,0.292187946,0.035806164,0.094198836,0.528856693,0.471143307,0.047653034,0.321877432,0.319199961,0.314263824,0,0.034194087,0.029517662,0.017788158,0.008841633,0.247153321,0.089845818,0.718619956,1
12/9/13,0.052204248,0.053456791,0.05375423,0.052723542,0.268829262,0.031178647,0.096006792,0.60142292,0.39857708,0.052723542,0.324268766,0.321911396,0.31577598,0,0.036332263,0.031759681,0.019830804,0.010083068,0.272989162,0.068104597,0.793305519,0
12/10/13,0.054333087,0.052121745,0.05399385,0.052027271,0.227491465,0.022989344,0.114824088,0.564406425,0.435593575,0.052027271,0.325687047,0.324342538,0.317037271,0,0.037833658,0.033460935,0.021608001,0.01124538,0.269277018,0.071111818,0.782884333,0
12/11/13,0.057049982,0.054548831,0.052788473,0.048713072,0.30723093,0.038786283,0.094999633,0.547598993,0.452401007,0.048713072,0.326070039,0.325968382,0.318223492,0,0.038232057,0.034219206,0.022878408,0.012217225,0.269277018,0.069881688,0.786113974,0
12/12/13,0.053190783,0.05012634,0.053060244,0.048064302,0.211845598,0.01988979,0.09276921,0.564711047,0.435288953,0.048064302,0.326744072,0.326816197,0.319359766,0,0.038391318,0.034715566,0.02396175,0.013122596,0.244545563,0.072683896,0.760229438,0
12/13/13,0.053753482,0.048193627,0.047983951,0.043230695,0.280897629,0.033569474,0.088482624,0.537849854,0.462150146,0.043230695,0.32588311,0.326720822,0.320307247,0,0.037393124,0.034197509,0.024449639,0.013781152,0.244545563,0.088998312,0.718376311,1
12/16/13,0.047533602,0.048004356,0.049053442,0.045659223,0.231724125,0.023827863,0.092302604,0.58446339,0.41553661,0.045659223,0.325340098,0.327085396,0.321129796,0,0.037180504,0.034237971,0.025138395,0.01452005,0.24103901,0.088998312,0.715251346,0
12/17/13,0.048161507,0.045491292,0.047748578,0.04367383,0.180138427,0.01360838,0.096734216,0.556129683,0.443870317,0.04367383,0.324405399,0.326426475,0.32197082,0,0.036554248,0.033891476,0.025559354,0.015143176,0.202105225,0.097575844,0.654205809,0
12/18/13,0.043307923,0.039214902,0.036115811,0.040335581,0.509050269,0.078768087,0.080183455,0.547446779,0.452553221,0.040335581,0.323735713,0.325599035,0.322871913,0,0.035292224,0.032969717,0.025600239,0.015595928,0.151481193,0.111997039,0.548462883,0
12/19/13,0.043149136,0.038075694,0.040050423,0.035343839,0.269282885,0.031268513,0.080686175,0.536834254,0.463165746,0.035343839,0.322145141,0.324236025,0.323570276,0,0.033151876,0.031261145,0.025128849,0.015812702,0.110730763,0.133560545,0.423811737,1
12/20/13,0.03991603,0.039340883,0.040918513,0.038950856,0.382316761,0.053661304,0.082824882,0.592029192,0.407970808,0.038950856,0.320948401,0.323596374,0.324524022,0,0.032324488,0.030552873,0.025069707,0.016178662,0.12911012,0.117020545,0.496244777,1
12/23/13,0.057844524,0.054352395,0.055238658,0.055618655,0.445848812,0.066247442,0.096755425,0.675861031,0.324138969,0.055618656,0.321580393,0.323809179,0.325896437,0,0.035550197,0.033160208,0.026713724,0.017258936,0.153204401,0.117020545,0.540134399,0
12/24/13,0.059345458,0.055263522,0.057848994,0.053704213,0.119098887,0.001516026,0.097727617,0.556586636,0.443413364,0.053704212,0.322096551,0.323932442,0.327238465,0,0.037614666,0.034927447,0.028006192,0.018213152,0.153204401,0.120772883,0.532048961,0
12/26/13,0.057923615,0.053394099,0.055730636,0.050721915,0.154787263,0.008586139,0.095179053,0.549731849,0.450268151,0.050721915,0.32278214,0.324080101,0.328364341,0,0.038528059,0.035803163,0.028871837,0.018999571,0.141511798,0.133656208,0.485688943,0
12/27/13,0.054523873,0.049395527,0.052636815,0.04770835,0.176205387,0.012829218,0.091778102,0.549528536,0.450471464,0.047708351,0.322969674,0.324053937,0.329112609,0,0.038538912,0.035943475,0.029348124,0.019623407,0.141511798,0.119743896,0.513875517,0
12/30/13,0.049471654,0.046002383,0.04690718,0.043301644,0.203368876,0.018210493,0.087070768,0.5405918,0.4594082,0.043301644,0.322935612,0.324059152,0.329352585,0,0.037524389,0.035215727,0.029330252,0.020030131,0.115675957,0.138778545,0.425147941,1
12/31/13,0.046858604,0.046936797,0.048247229,0.048443703,0.17365232,0.012323438,0.090891321,0.601880065,0.398119935,0.048443703,0.323677659,0.324263825,0.329491346,0,0.037928984,0.035603442,0.029837772,0.0206457,0.141874667,0.135771325,0.482327126,0
1/2/14,0.048057661,0.043598583,0.04666756,0.042201922,0.185293189,0.014629574,0.084062477,0.52881038,0.47118962,0.042201922,0.324305304,0.324155632,0.329544595,0,0.036794712,0.034727255,0.029661265,0.020964257,0.141874667,0.148416208,0.45962957,0
1/3/14,0.045817731,0.040982226,0.037416429,0.032590625,0.340024843,0.045282983,0.080063078,0.507182333,0.492817667,0.032590625,0.323723222,0.323586342,0.328834128,0,0.033681352,0.032172725,0.02852271,0.020850146,0.141874667,0.18713348,0.40174325,1
1/6/14,0.03357721,0.035562033,0.031965238,0.034924153,0.359821708,0.049204879,0.076781358,0.583854069,0.416145931,0.034924153,0.321829282,0.323555493,0.328243415,0,0.031801551,0.030528819,0.027730246,0.020842525,0.153764835,0.16625348,0.451263834,0
1/7/14,0.039033944,0.034902272,0.035417578,0.03184505,0.266124166,0.030642749,0.081660086,0.549109753,0.450890247,0.03184505,0.319828754,0.323033182,0.327462268,0,0.029624705,0.028595089,0.026699665,0.020700593,0.141391004,0.17955548,0.411054502,1
1/8/14,0.034657327,0.034588213,0.036027849,0.034552568,0.208377392,0.019202714,0.078638037,0.586253184,0.413746816,0.034552568,0.318348952,0.321484726,0.326997999,0,0.028560122,0.027530616,0.02604298,0.020682592,0.155185525,0.170977948,0.446508293,0
1/9/14,0.041003996,0.035609202,0.03336231,0.029061773,0.228813489,0.023251246,0.076212717,0.533630224,0.466369776,0.029061773,0.316642436,0.31967339,0.326159447,0,0.026457489,0.025609861,0.024889629,0.020425256,0.155185525,0.180276597,0.433194536,0
1/10/14,0.035467566,0.03084877,0.029977913,0.026230393,0.253936938,0.028228375,0.071389019,0.550701638,0.449298362,0.026230393,0.315080093,0.317873148,0.325245229,0,0.024164837,0.023496983,0.02355776,0.020054232,0.155185525,0.17094374,0.446558783,1
1/13/14,0.02758736,0.032184413,0.028996383,0.028437655,0.326541688,0.042611877,0.071124188,0.583041666,0.416958334,0.028437655,0.313249159,0.316456661,0.324526686,0,0.022894052,0.022190286,0.022577533,0.019794253,0.148051473,0.17094374,0.434721958,1
1/14/14,0.034188813,0.035507103,0.035205863,0.036870463,0.282969578,0.033979941,0.107738439,0.623002763,0.376997237,0.036870463,0.31276123,0.315983939,0.324129986,0,0.023863242,0.022733496,0.022549498,0.019913126,0.10609403,0.17094374,0.353999824,1
1/15/14,0.046342394,0.046088361,0.04637941,0.04554859,0.340685677,0.045413899,0.089257053,0.624577396,0.375422604,0.045548589,0.313947129,0.315771135,0.32421213,0,0.02663158,0.024837172,0.023407952,0.020406718,0.150309258,0.16267374,0.451020411,0
